Name,Team,W,L,G,GS,CG,ShO,SV,H,ER,HR,BB,SO,WP,HBP,R,IP,W%,K/BB,WHIP,ERA,playerid
Billy Wagner,- - -,47,40,853,0,0,0,422,601,232,82,300,1196,43,33,262,903,0.540229885,3.99,1,2.31,578
Roger Clemens,- - -,354,184,709,707,118,46,0,4185,1707,363,1580,4672,143,159,1885,4916.2,0.657992565,2.96,1.17,3.12,815
Curt Schilling,- - -,216,146,569,436,83,20,22,2998,1253,347,711,3116,72,52,1318,3261,0.596685083,4.38,1.14,3.46,73
Tim Hudson,- - -,222,133,482,479,26,13,0,2957,1213,248,917,2080,84,124,1319,3126.2,0.625352113,2.27,1.24,3.49,921
Dan Haren,- - -,153,131,391,380,16,6,1,2357,1009,305,500,2013,98,67,1105,2419.2,0.538732394,4.03,1.18,3.75,1757
Mark Buehrle,- - -,214,160,518,493,33,10,0,3472,1391,361,734,1870,27,79,1542,3283.1,0.572192513,2.55,1.28,3.81,225
Andy Pettitte,- - -,256,153,531,521,26,4,0,3448,1418,288,1031,2448,69,55,1572,3316,0.62591687,2.37,1.35,3.85,840
A.J. Burnett,- - -,164,157,435,430,24,10,0,2519,1210,263,1100,2513,161,143,1328,2731.1,0.510903427,2.28,1.32,3.99,512
Barry Zito,- - -,165,143,433,421,12,5,0,2381,1157,282,1064,1885,50,97,1254,2576.2,0.535714286,1.77,1.34,4.04,944
LaTroy Hawkins,- - -,75,94,1042,98,2,0,127,1607,702,163,456,983,70,21,763,1467.1,0.443786982,2.16,1.41,4.31,729
