Name,W,L,G,GS,CG,ShO,SV,H,ER,HR,BB,SO,WP,HBP,TBF,R,IP,W %,K/BB,WHIP,ERA
Billy Wagner,47,40,853,0,0,0,422,601,232,82,300,1196,43,33,3600,262,903,0.540229885,3.99,1,2.31
Jonathan Papelbon,41,36,689,3,0,0,368,572,197,57,185,808,14,34,2938,226,725.2,0.532467532,4.37,1.04,2.44
Joe Nathan,64,34,787,29,0,0,377,690,294,84,344,976,47,23,3771,317,923.1,0.653061224,2.84,1.12,2.87
Roger Clemens,354,184,709,707,118,46,0,4185,1707,363,1580,4672,143,159,20240,1885,4916.2,0.657992565,2.96,1.17,3.12
Matt Thornton,36,46,748,1,0,0,23,594,251,52,251,642,28,20,2799,273,662.2,0.43902439,2.56,1.28,3.41
Curt Schilling,216,146,569,436,83,20,22,2998,1253,347,711,3116,72,52,13284,1318,3261,0.596685083,4.38,1.14,3.46
Javier Lopez,30,17,839,0,0,0,14,484,206,26,235,358,16,27,2273,227,533.1,0.638297872,1.52,1.35,3.48
Tim Hudson,222,133,482,479,26,13,0,2957,1213,248,917,2080,84,124,13005,1319,3126.2,0.625352113,2.27,1.24,3.49
Jake Peavy,152,126,388,377,15,6,0,2134,960,259,708,2207,46,78,9838,1011,2377,0.54676259,3.12,1.2,3.63
Tim Lincecum,110,89,278,270,10,7,1,1506,699,147,669,1736,107,44,7120,746,1682,0.552763819,2.59,1.29,3.74
Mark Buehrle,214,160,518,493,33,10,0,3472,1391,361,734,1870,27,79,13705,1542,3283.1,0.572192513,2.55,1.28,3.81
Andy Pettitte,256,153,531,521,26,4,0,3448,1418,288,1031,2448,69,55,14074,1572,3316,0.62591687,2.37,1.35,3.85
Scott Kazmir,108,96,298,297,3,1,0,1596,752,190,681,1608,74,68,7253,821,1689.2,0.529411765,2.36,1.35,4.01
Kyle Lohse,147,143,457,418,12,9,2,2711,1239,316,694,1615,57,87,10839,1327,2531.2,0.506896552,2.33,1.34,4.4
Ryan Vogelsong,61,75,289,179,2,1,0,1205,592,129,471,900,31,64,5204,641,1190,0.448529412,1.91,1.41,4.48
Colby Lewis,77,72,233,195,10,3,0,1255,635,178,377,961,33,51,5226,681,1215,0.516778523,2.55,1.34,4.7
